datetime,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2023-03-27,26.741,26.435,26.904,26.269,36102574,9622483712.0,2.38,-0.93,-0.248,1.46
2023-03-28,26.351,26.314,26.417,25.754,35610378,9320399104.0,2.51,-0.46,-0.121,1.44
2023-03-29,26.729,26.888,26.982,26.501,39369387,10589934080.0,1.83,2.18,0.574,1.6
2023-03-30,27.133,27.287,27.403,27.006,36451574,9961735680.0,1.48,1.48,0.399,1.48
2023-03-31,27.044,27.681,27.738,27.009,43393277,11968931072.0,2.67,1.44,0.394,1.76
2023-04-03,27.413,27.869,27.904,27.24,39871560,11043120896.0,2.4,0.68,0.188,1.62
2023-04-04,27.87,27.357,27.904,27.211,36859153,10178470656.0,2.49,-1.84,-0.512,1.49
2023-04-05,26.733,26.785,26.902,26.299,51501474,13737295616.0,2.2,-2.09,-0.572,2.09
2023-04-06,26.488,26.941,26.984,26.331,39765434,10681668608.0,2.44,0.58,0.156,1.61
2023-04-10,26.727,27.483,27.525,26.573,39527855,10785738240.0,3.53,2.01,0.542,1.6
2023-04-11,27.628,27.073,27.694,27.03,31437817,8589913856.0,2.42,-1.49,-0.41,1.27
2023-04-12,27.274,26.399,27.372,26.352,44625895,11950930688.0,3.77,-2.49,-0.674,1.81
2023-04-13,26.638,26.367,26.791,26.233,35361528,9426533376.0,2.11,-0.12,-0.032,1.43
2023-04-14,26.408,26.662,26.787,26.124,39566013,10514744832.0,2.51,1.12,0.295,1.6
2023-04-17,26.47,26.906,26.91,26.337,32147130,8596773888.0,2.15,0.92,0.244,1.3
2023-04-18,27.438,27.571,28.014,27.261,60481154,16790055424.0,2.8,2.47,0.665,2.45
2023-04-19,27.265,27.835,27.904,27.136,35866041,9950798848.0,2.79,0.96,0.264,1.45
2023-04-20,27.575,27.008,27.934,26.904,42771326,11770666240.0,3.7,-2.97,-0.827,1.73
2023-04-21,26.856,27.023,27.087,26.626,34510277,9316397312.0,1.71,0.06,0.015,1.4
2023-04-24,26.917,26.946,27.27,26.575,33928186,9162635264.0,2.57,-0.28,-0.077,1.37
2023-04-25,26.982,26.145,27.151,26.129,37852716,10050851840.0,3.79,-2.97,-0.801,1.53
2023-04-26,26.906,26.86,27.234,26.609,40633681,10990552320.0,2.39,2.73,0.715,1.64
2023-04-27,27.267,27.13,27.399,26.529,37716119,10172346880.0,3.24,1.01,0.27,1.53
2023-04-28,27.129,27.653,27.662,26.975,29221614,8027368448.0,2.53,1.93,0.523,1.18
2023-05-01,27.744,28.814,28.962,27.684,57032853,16325966848.0,4.62,4.2,1.161,2.31
2023-05-02,28.584,28.114,28.74,27.987,40272957,11421269760.0,2.61,-2.43,-0.7,1.63
2023-05-03,27.744,27.706,28.271,27.376,38338740,10700560896.0,3.18,-1.45,-0.408,1.55
2023-05-04,27.555,27.466,27.763,27.144,32185041,8873846528.0,2.23,-0.87,-0.24,1.3
2023-05-05,27.73,28.584,28.659,27.635,36149408,10270337280.0,3.73,4.07,1.118,1.46
2023-05-08,28.426,29.055,29.124,28.254,34497890,9955883520.0,3.04,1.65,0.471,1.39
2023-05-09,28.803,28.475,28.877,28.354,31486946,9015112960.0,1.8,-2.0,-0.58,1.27
2023-05-10,28.909,28.789,29.017,28.365,36934998,10658369792.0,2.29,1.1,0.314,1.49
2023-05-11,28.8,28.482,28.854,28.15,32214903,9198578432.0,2.45,-1.07,-0.307,1.3
2023-05-12,28.433,28.244,28.684,27.95,27422225,7768451328.0,2.58,-0.84,-0.238,1.11
2023-05-15,28.413,28.857,28.873,28.056,29392587,8426442496.0,2.89,2.17,0.613,1.19
2023-05-16,28.745,29.117,29.774,28.736,44940494,13227677184.0,3.6,0.9,0.26,1.82
2023-05-17,29.488,30.082,30.103,29.334,43253541,12925271040.0,2.64,3.31,0.965,1.75
2023-05-18,30.314,31.582,31.732,30.224,74872501,23473443840.0,5.01,4.99,1.5,3.03
2023-05-19,31.44,31.168,31.484,30.82,47390765,14808835584.0,2.1,-1.31,-0.414,1.92
